"","ubicgeo","cod_delito","total_procesados","anio","sistema","concepto"
"412","01001",5010,1,"2019","control","- Violencia familiar"
"413","01001",7010,1,"2019","control","- Narcomenudeo"
"414","01001",7010,1,"2019","control","- Narcomenudeo"
"415","01001",7010,1,"2019","control","- Narcomenudeo"
"416","01001",1010,1,"2019","control","- Homicidio"
"417","01001",1010,4,"2019","control","- Homicidio"
"418","01001",7010,6,"2019","control","- Narcomenudeo"
"419","01001",3040,1,"2019","control","- Violación"
"420","01001",3040,1,"2019","control","- Violación"
"421","01001",3040,1,"2019","control","- Violación"
"422","01001",7010,1,"2019","control","- Narcomenudeo"
"423","01001",5010,1,"2019","control","- Violencia familiar"
"424","01001",1010,1,"2019","control","- Homicidio"
"425","01001",5010,1,"2019","control","- Violencia familiar"
"426","01001",7010,2,"2019","control","- Narcomenudeo"
"427","01001",7010,1,"2019","control","- Narcomenudeo"
"428","01001",3040,1,"2019","control","- Violación"
"429","01001",3040,1,"2019","control","- Violación"
"430","01001",7010,1,"2019","control","- Narcomenudeo"
"431","01001",7010,1,"2019","control","- Narcomenudeo"
"432","01001",7010,1,"2019","control","- Narcomenudeo"
"433","01001",7010,1,"2019","control","- Narcomenudeo"
"434","01001",3040,1,"2019","control","- Violación"
"435","01001",1010,1,"2019","control","- Homicidio"
"436","01001",7010,1,"2019","control","- Narcomenudeo"
"437","01001",7010,1,"2019","control","- Narcomenudeo"
"438","01001",7010,1,"2019","control","- Narcomenudeo"
"439","01001",7010,2,"2019","control","- Narcomenudeo"
"440","01001",7010,1,"2019","control","- Narcomenudeo"
"441","01001",7010,1,"2019","control","- Narcomenudeo"
"442","01001",7010,1,"2019","control","- Narcomenudeo"
"443","01001",2060,1,"2019","control","- Secuestro"
"444","01001",7010,1,"2019","control","- Narcomenudeo"
"445","01001",7010,1,"2019","control","- Narcomenudeo"
"446","01001",1010,1,"2019","control","- Homicidio"
"447","01001",7010,1,"2019","control","- Narcomenudeo"
"448","01001",7010,1,"2019","control","- Narcomenudeo"
"449","01001",7010,1,"2019","control","- Narcomenudeo"
"450","01001",7010,1,"2019","control","- Narcomenudeo"
"451","01001",7010,1,"2019","control","- Narcomenudeo"
"452","01001",3040,1,"2019","control","- Violación"
