"indice","observaciones","partido","juzgado","fecha_presenta","delito","fecha_audiencia_intermedia","fecha_concluye_intermedia","fecha_abreviado","fecha_apertura_juicio","fecha_juicio","fecha_concluye_juicio","sentido_sentencia","apela1","fecha1","contra1","concluye1","apela2","fecha2","contra2","concluye2","apela3","fecha3","contra3","concluye3","year_presenta","dias_presenta_intermedia","dias_presenta_abreviado","dias_intermedia_abreviado","dias_intermedia_apertura_juicio","dias_aperturaJuicio_juicio","dias_juicio_concluyeJuicio","dias_presenta_apela1","dias_intermedia_apela1","dias_abreviado_apela1","dias_aperturaJuicio_apela1","dias_juicio_apela1","dias_concluyeJuicio_apela1","dias_apela1_apela2","dias_apela2_apela3","dias_presenta_concluyeJuicio"
469,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-08,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-09,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-09,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-09,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-10,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-10,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-11,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-11,"VIOLENCIA FAMILIAR",2022-05-24,NA,NA,2022-05-24,NA,NA,NA,"SI",2022-02-15,"Negar modificación de medidas cautelares","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2021,347,NA,NA,0,NA,NA,249,NA,NA,NA,NA,NA,NA,NA,NA
477,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-11,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-11,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-11,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-14,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-16,"VIOLENCIA FAMILIAR",2022-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-17,"VIOLENCIA FAMILIAR",2022-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-18,"VIOLACIÓN",2021-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-18,"VIOLACIÓN EQUIPARADA",2021-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-23,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-26,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-28,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-28,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-28,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-29,"VIOLACIÓN EQUIPARADA",2022-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-29,"VIOLACIÓN EQUIPARADA",2022-03-03,NA,2022-03-03,NA,NA,NA,NA,"Si",2021-12-13,"Negar suspensión condicional del proceso","Sin materia",NA,NA,NA,NA,NA,NA,NA,NA,2021,247,247,1,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA
491,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-29,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-30,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-30,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-30,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-01,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-01,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-01,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-01,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-02,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-02,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-02,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-05,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-06,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-06,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-07,"VIOLACIÓN",2022-07-20,NA,NA,2022-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,378,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-07,"VIOLACIÓN EQUIPARADA",2022-07-20,NA,NA,2022-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,378,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-08,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-08,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-08,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-09,"VIOLACIÓN EQUIPARADA",2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-09,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-10,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-13,"VIOLACIÓN EQUIPARADA",2022-08-03,NA,2022-08-09,NA,NA,NA,NA,"Si",2022-08-18,"Sentencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,386,392,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
511,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-14,"VIOLENCIA FAMILIAR",2022-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-14,"VIOLACIÓN",2022-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-14,"VIOLACIÓN EQUIPARADA",2022-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-16,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,"SI",2022-08-08,"Negar modificación de medidas cautelares",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
514,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-16,"VIOLENCIA FAMILIAR",2022-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-18,"VIOLACIÓN",2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-18,"VIOLACIÓN EQUIPARADA",2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-19,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-22,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-23,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-23,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-23,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-23,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-23,"VIOLENCIA FAMILIAR",2022-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
523,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-23,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-26,"VIOLACIÓN EQUIPARADA",NA,NA,2021-11-09,NA,NA,NA,NA,"SI",2021-11-12,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-28,"VIOLACIÓN",2022-06-13,NA,NA,2022-06-13,NA,NA,NA,"Si",2021-08-13,"Vinculación a proceso","Declara insubsistente",NA,NA,NA,NA,NA,NA,NA,NA,2021,320,NA,NA,0,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
525,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-28,"VIOLENCIA FAMILIAR",2022-06-13,NA,NA,2022-06-13,NA,NA,NA,"SI",2021-08-13,"Vinculación a proceso","Declara insubsistente",NA,NA,NA,NA,NA,NA,NA,NA,2021,320,NA,NA,0,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
526,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-30,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-30,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,NA,1,"ORALIDAD AGUASCALIENTES",2021-07-30,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
527,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-03,"VIOLENCIA FAMILIAR",2022-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-04,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-04,"VIOLENCIA FAMILIAR",NA,NA,2022-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
530,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-04,"VIOLACIÓN EQUIPARADA",NA,NA,2021-12-15,NA,NA,NA,NA,"SI",2021-08-18,"Vinculación a proceso","Confirma","SI",2022-01-04,"Sentencia","Confirma",NA,NA,NA,NA,2021,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA
531,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-05,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
532,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-06,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-06,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-10,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-10,"VIOLENCIA FAMILIAR",2022-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-10,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-12,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-12,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-12,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-18,"VIOLENCIA FAMILIAR",2022-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-19,"VIOLACIÓN EQUIPARADA",NA,NA,2022-05-26,NA,NA,NA,NA,"SI",2021-11-08,"Negar modificación de medidas cautelares","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-19,"VIOLACIÓN EQUIPARADA",2022-04-13,NA,NA,2022-04-13,2022-08-02,2022-08-16,"Absolutoria","SI",2021-11-22,"Negar anticipo de la prueba","Revoca",NA,NA,NA,NA,NA,NA,NA,NA,2021,237,NA,NA,0,111,14,95,NA,NA,NA,NA,NA,NA,NA,362
543,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-21,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-23,"VIOLENCIA FAMILIAR",2022-06-23,NA,NA,NA,NA,NA,NA,"SI",2022-02-14,"Vinculación a proceso","No se admite",NA,NA,NA,NA,NA,NA,NA,NA,2021,304,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA
545,NA,1,"ORALIDAD AGUASCALIENTES",2021-08-25,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
