"indice","observaciones","partido","juzgado","fecha_presenta","delito","fecha_audiencia_intermedia","fecha_concluye_intermedia","fecha_abreviado","fecha_apertura_juicio","fecha_juicio","fecha_concluye_juicio","sentido_sentencia","apela1","fecha1","contra1","concluye1","apela2","fecha2","contra2","concluye2","apela3","fecha3","contra3","concluye3","year_presenta","dias_presenta_intermedia","dias_presenta_abreviado","dias_intermedia_abreviado","dias_intermedia_apertura_juicio","dias_aperturaJuicio_juicio","dias_juicio_concluyeJuicio","dias_presenta_apela1","dias_intermedia_apela1","dias_abreviado_apela1","dias_aperturaJuicio_apela1","dias_juicio_apela1","dias_concluyeJuicio_apela1","dias_apela1_apela2","dias_apela2_apela3","dias_presenta_concluyeJuicio"
299,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-17,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-18,"VIOLENCIA FAMILIAR",NA,NA,2021-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-21,"VIOLACIÓN EQUIPARADA",NA,NA,2022-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-24,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-28,"VIOLENCIA FAMILIAR",2021-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-29,"VIOLENCIA FAMILIAR",2021-06-16,NA,2021-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,260,260,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-04,"VIOLENCIA FAMILIAR",NA,NA,2020-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-06,"VIOLACIÓN",2022-01-21,NA,NA,2022-01-21,2022-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,472,NA,NA,0,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-06,"VIOLACIÓN EQUIPARADA",2022-01-21,NA,NA,2022-01-21,2022-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,472,NA,NA,0,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-08,"VIOLENCIA FAMILIAR",NA,NA,2021-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-09,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-12,"VIOLACIÓN",2022-04-12,NA,NA,2022-04-12,2022-07-08,2022-07-22,"Condenatoria","Si",2020-11-06,"Excluir medios de prueba","No se admite","Si",2020-11-06,"No vinculación a proceso","Modifica","Si",2022-08-10,"Sentencia",NA,2020,547,NA,NA,0,87,14,25,NA,NA,NA,NA,NA,0,642,648
311,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-12,"VIOLACIÓN EQUIPARADA",2022-04-12,NA,NA,2022-04-12,2022-07-08,2022-07-22,"Condenatoria","Si",2020-11-06,"Excluir medios de prueba","No se admite",NA,NA,NA,NA,"Si",2022-08-10,"Sentencia",NA,2020,547,NA,NA,0,87,14,25,NA,NA,NA,NA,NA,NA,NA,648
