ubicageo,cod_expe,cod_deli,delirie6,califica,gdo_cons,form_com,form_acc,modalida,elemcomi,concurso,clasific,ent_ocur,muniocur,fec_ocur,totalca1,totalca2
"15058",8146,9310,1010,1,1,1,1,4,1,1,1,15,"15999","09/09/2016","1","1"
"15058",8147,9311,4010,1,1,2,1,3,2,1,1,15,"15070","21/12/2016","1","1"
"15058",8148,9312,4010,1,1,1,1,3,1,1,1,15,"15058","27/10/2016","1","1"
"15058",8149,9313,4010,1,1,1,1,3,1,1,1,15,"15058","02/10/2016","1","1"
"15058",8150,9314,1010,1,1,1,1,3,1,1,1,15,"15999","08/07/2012","1","2"
"15058",8151,9315,4200,1,1,2,1,9,2,1,2,15,"15070","11/08/2016","1","1"
"15058",8152,9316,3010,1,1,9,2,3,3,2,1,15,"15058","09/09/2016","1","1"
"15058",8153,9317,4010,1,1,1,1,3,1,1,1,15,"15999","28/11/2016","1","1"
"15058",8154,9318,3040,1,1,9,1,3,5,1,1,15,"15058","01/03/2013","1","1"
"15058",8155,9319,8061,9,1,9,9,9,6,9,9,15,"15999","03/10/2015","1","2"
"15058",8155,9320,8062,9,1,9,9,9,6,9,9,15,"15999","03/10/2015","1","2"
"15058",8156,9321,4010,1,1,9,1,3,6,1,1,15,"15058","21/01/2017","1","1"
"15058",8157,9322,4010,1,1,1,1,4,1,1,1,15,"15058","30/09/2016","3","2"
"15058",8158,9323,4010,9,1,1,1,3,1,1,1,15,"15070","18/11/2016","1","1"
"15058",8159,9324,4010,1,1,1,1,3,1,1,1,15,"15058","17/11/2016","1","1"
"15058",8160,9325,3040,1,1,2,1,3,2,1,1,15,"15058","24/05/2016","1","1"
"15058",8161,9326,4200,1,1,9,1,3,6,1,2,15,"15999","20/07/2016","1","1"
"15058",8162,9327,3010,9,1,9,9,9,5,0,1,15,"15999","03/01/2017","1","1"
"15058",8163,9328,1010,1,1,1,1,3,1,1,1,15,"15999","20/06/2016","1","1"
"15058",8164,9329,4200,1,9,9,1,3,6,1,2,15,"15058","26/08/2016","1","1"
"15058",8165,9330,8080,2,9,9,9,9,5,0,2,15,"15999","01/09/2016","1","1"
"15058",8166,9331,3010,2,1,9,1,1,3,1,1,15,"15058","08/11/2016","1","1"
"15058",8167,9332,4010,1,1,2,1,3,2,1,1,15,"15999","10/01/2017","1","1"
"15058",8168,9333,4010,1,1,1,1,3,1,1,1,15,"15999","06/11/2016","1","1"
"15058",8169,9334,4200,1,1,9,1,3,4,1,1,15,"15999","30/03/2016","2","1"
"15058",8170,9335,4010,9,1,1,1,3,1,1,1,15,"15070","28/11/2016","1","1"
"15058",8171,9336,4010,1,1,1,1,3,1,1,1,15,"15058","20/10/2016","2","1"
"15058",8172,9337,4010,1,1,2,1,3,2,1,1,15,"15070","05/03/2017","4","1"
"15058",8173,9338,4010,1,1,9,9,3,5,9,1,15,"15999","30/07/2016","1","1"
"15058",8174,9339,4010,2,1,9,2,4,3,2,1,15,"15058","01/03/2017","1","1"
"15058",8175,9340,1010,1,1,1,1,4,1,1,1,15,"15058","09/12/2016","3","1"
"15058",8176,9341,4200,1,1,9,1,3,6,1,1,15,"15058","28/09/2016","1","1"
"15058",8177,9342,1040,1,1,2,1,3,2,1,1,15,"15999","12/01/2017","1","1"
"15058",8178,9343,1010,1,1,1,9,4,1,0,1,15,"15999","17/11/2012","1","1"
"15058",8179,9344,4010,1,1,1,1,3,1,1,1,99,"99999","24/02/2017","3","1"
"15058",8180,9345,1010,1,1,9,1,4,6,1,1,15,"15999","26/04/2016","1","1"
"15058",8181,9346,4010,1,1,9,1,3,4,1,1,15,"15058","03/09/2016","1","1"
"15058",8182,9347,4010,1,1,2,1,3,2,1,1,15,"15121","14/11/2016","1","3"
"15058",8183,9348,4200,9,1,1,1,3,1,1,2,15,"15058","26/10/2015","1","1"
"15058",8184,9349,4010,1,1,1,1,3,1,1,1,15,"15999","28/02/2017","1","1"
"15058",8185,9350,4200,1,1,1,1,3,1,1,2,15,"15058","03/09/2016","1","1"
"15058",8186,9351,4010,1,1,2,1,3,2,1,1,15,"15058","31/12/2016","1","1"
"15058",8187,9352,4010,1,1,9,1,3,4,1,1,15,"15999","13/11/2016","1","1"
"15058",8188,9353,2060,1,1,9,1,9,4,1,2,15,"15999","02/09/2014","1","1"
"15058",8189,9354,4010,1,1,9,1,3,4,1,1,15,"15058","21/02/2017","1","1"
"15058",8190,9355,3040,1,1,9,1,9,3,1,1,15,"15058","07/10/2016","1","1"
"15058",8191,9356,4010,1,1,9,1,3,5,1,1,15,"15999","03/03/2017","1","1"
"15058",8192,9357,1010,1,1,1,1,4,1,1,1,15,"15058","11/06/2012","1","1"
"15058",8193,9358,4010,1,1,1,1,3,1,1,1,15,"15058","29/03/2017","1","1"
"15058",8194,9359,4010,1,1,1,1,3,1,1,1,15,"15058","28/03/2017","2","1"
"15058",8195,9360,2060,1,1,1,1,3,1,1,2,15,"15999","15/11/2016","3","1"
"15058",8196,9361,2060,1,1,9,1,3,6,1,2,15,"15058","13/08/2016","1","1"
"15058",8197,9362,4010,1,1,2,1,3,2,1,1,15,"15058","10/02/2017","1","1"
"15058",8198,9363,4200,1,1,9,1,3,5,1,3,15,"15058","26/06/2015","1","1"
"15058",8199,9364,4010,1,1,1,1,3,1,1,1,15,"15058","22/04/2015","2","1"
"15058",8200,9365,1010,1,1,1,1,4,1,1,1,15,"15070","26/12/2016","1","1"
"15058",8201,9366,4010,1,1,2,1,3,2,1,1,15,"15999","03/03/2017","1","1"
"15058",8202,9367,4010,1,1,9,1,3,4,1,1,15,"15058","21/05/2017","1","1"
"15058",8203,9368,1010,1,1,9,1,3,6,1,1,15,"15058","24/12/2016","1","1"
"15058",8204,9369,1010,1,1,9,1,3,4,1,1,15,"15058","05/12/2014","1","1"
"15058",8205,9370,2060,1,1,1,1,3,1,1,2,15,"15999","16/06/2015","3","1"
"15058",8206,9371,4010,9,9,9,9,9,6,9,9,99,"99999","09/09/1899","1","1"
"15058",8207,9372,4200,1,1,2,1,3,2,1,1,15,"15058","14/12/2016","1","1"
"15058",8208,9373,1010,1,1,9,1,4,3,1,1,15,"15999","23/01/2017","1","1"
"15058",8209,9374,2010,1,2,9,1,9,3,1,2,15,"15121","03/02/2017","1","1"
"15058",8210,9375,4010,1,1,1,1,3,1,1,1,15,"15070","27/10/2016","1","1"
"15058",8211,9376,4010,1,1,2,1,3,2,1,1,15,"15070","27/01/2017","1","1"
"15058",8212,9377,8030,1,1,9,9,3,5,0,3,15,"15058","24/10/2014","1","1"
"15058",8213,9378,4010,1,1,1,1,3,1,1,1,15,"15058","20/01/2017","1","1"
"15058",8214,9379,3010,1,1,9,1,3,5,1,1,99,"99999","25/12/2016","1","1"
"15058",8215,9380,4010,1,1,9,1,3,6,1,1,15,"15058","15/04/2017","2","1"
"15058",8216,9381,4200,1,1,9,2,3,3,2,3,99,"99999","27/03/2017","1","1"
"15058",8217,9382,3040,1,9,9,1,3,3,1,1,15,"15999","07/11/2016","1","1"
"15058",8218,9383,3040,1,1,9,1,3,3,1,1,15,"15999","16/05/2016","2","1"
"15058",8219,9384,4010,1,1,2,1,3,2,1,1,99,"99999","19/03/2017","2","1"
"15058",8220,9385,4010,1,1,1,1,3,1,1,1,15,"15999","15/06/2017","1","1"
"15058",8221,9386,1010,2,1,9,2,9,3,2,1,15,"15058","12/12/2016","1","2"
"15058",8222,9387,4200,1,1,2,1,3,2,1,1,15,"15058","24/03/2017","1","1"
"15058",8223,9388,4220,2,1,9,2,1,4,2,2,15,"15999","07/12/2010","1","1"
"15058",8224,9389,4010,1,1,1,1,3,1,1,1,99,"99999","12/02/2017","1","1"
"15058",8225,9390,4010,1,1,1,1,3,1,1,1,15,"15058","10/05/2017","1","1"
"15058",8226,9391,4200,1,1,9,1,3,5,1,1,15,"15058","15/04/2017","2","1"
"15058",8227,9392,4200,1,1,9,1,3,4,1,1,15,"15058","04/08/2016","1","1"
"15058",8228,9393,1010,1,1,1,1,4,1,1,1,15,"15999","13/12/2016","2","1"
"15058",8229,9394,4010,1,1,2,1,3,2,1,1,15,"15999","15/06/2017","1","1"
"15058",8230,9395,1010,1,1,1,1,4,1,1,1,15,"15070","22/01/2017","1","1"
"15058",8231,9396,1010,1,9,1,1,4,1,1,1,15,"15999","06/11/2016","2","1"
"15058",8232,9397,4200,2,1,9,2,1,4,2,3,15,"15058","23/04/2017","2","1"
"15058",8233,9398,3040,1,9,9,1,3,3,1,1,15,"15999","23/12/2016","1","1"
"15058",8234,9399,4010,9,1,2,1,3,2,1,1,15,"15058","26/05/2017","1","1"
"15058",8235,9400,4200,1,1,1,1,1,1,1,3,15,"15058","10/08/2016","2","3"
"15058",8236,9401,4010,1,1,9,1,3,4,1,1,15,"15070","30/01/2017","4","1"
"15058",8237,9402,4200,1,1,1,1,1,1,1,3,15,"15058","24/06/2017","1","2"
"15058",8238,9403,4010,1,1,1,1,3,1,1,1,15,"15058","25/02/2016","1","1"
"15058",8239,9404,4010,1,1,1,1,3,1,1,1,15,"15070","29/03/2017","3","1"
"15058",8240,9405,1010,1,1,1,1,4,1,1,1,15,"15999","16/09/2014","1","1"
"15058",8241,9406,4200,1,1,9,1,3,4,1,1,15,"15999","05/03/2017","5","1"
"15058",8242,9407,4010,1,1,1,1,3,1,1,1,15,"15070","24/04/2017","2","1"
"15058",8243,9408,4010,1,1,2,1,3,2,1,1,15,"15070","30/08/2017","1","2"
"15058",8244,9409,4010,1,1,2,1,3,2,1,1,15,"15058","19/07/2017","1","1"
"15058",8245,9410,4010,1,1,2,1,3,2,1,3,15,"15058","03/05/2017","2","1"
"15058",8246,9411,4200,1,9,9,1,4,4,1,1,15,"15999","30/03/2017","3","1"
"15058",8247,9412,3040,1,1,9,1,3,3,1,1,15,"15999","11/04/2013","1","1"
"15058",8248,9413,4010,1,1,1,1,3,1,1,1,99,"99999","20/04/2017","1","1"
"15058",8249,9414,4010,1,1,1,1,4,1,1,1,15,"15058","13/11/2011","1","2"
"15058",8250,9415,1010,1,1,1,1,3,1,1,1,15,"15058","07/06/2017","4","1"
"15058",8251,9416,4200,1,1,2,1,3,2,1,1,15,"15122","16/10/2016","1","1"
"15058",8252,9417,1010,1,1,1,1,4,1,1,1,15,"15058","21/06/2017","1","1"
"15058",8253,9418,3010,1,1,9,1,3,3,1,1,15,"15999","04/07/2017","1","1"
"15058",8253,9419,4010,1,1,9,1,3,3,1,1,15,"15999","04/07/2017","1","1"
"15065",8254,9420,3040,1,1,9,1,3,3,1,1,15,"15091","06/06/2017","1","2"
"15065",8255,9421,4010,1,1,1,1,3,1,1,1,15,"15091","16/06/2017","2","1"
"15065",8256,9422,4010,1,1,1,1,3,1,1,1,15,"15061","27/01/2017","3","2"
"15065",8257,9423,3040,1,1,9,1,3,3,1,1,15,"15091","18/06/2017","1","2"
"15065",8258,9424,4010,1,1,9,2,3,3,2,1,15,"15084","11/07/2017","2","1"
