ubicgeob,cod_expe,cod_deli,delirie8,califdel,gdoconsu,formcomi,formacci,tipmodal,ele_comi,ticoncur,ticlasif,entiocur,munocurr,fec_ocur,totalca1,totalca2
"15025",4739,6046,40100,1,1,2,1,3,2,1,1,15,"15025","03/09/2018","1","1"
"15025",4740,6047,10100,1,1,3,1,4,4,1,1,15,"15025","12/11/2017","1","1"
"15025",4741,6048,40100,1,2,1,1,3,1,1,1,15,"15025","23/02/2018","2","1"
"15025",4742,6049,40100,1,1,2,1,3,2,1,1,15,"15025","02/02/2018","3","2"
"15025",4742,6050,40100,1,1,2,1,3,2,1,1,15,"15025","02/02/2018","2","1"
"15025",4743,6051,40100,1,1,3,1,3,4,1,1,15,"15039","19/07/2018","1","2"
"15025",4744,6052,40100,1,1,3,1,3,3,1,1,15,"15039","04/10/2018","2","1"
"15025",4745,6053,40100,1,1,2,1,3,2,1,1,15,"15039","18/08/2018","1","1"
"15025",4746,6054,40100,1,1,3,1,3,4,1,1,15,"15039","18/08/2018","3","1"
"15025",4747,6055,30400,1,1,3,2,3,4,2,1,15,"15122","14/08/2016","1","1"
"15025",4748,6056,40100,2,1,2,1,3,2,1,1,15,"15039","06/05/2018","1","2"
"15025",4749,6057,40100,1,1,2,1,3,2,1,1,15,"15039","11/10/2018","1","1"
"15025",4750,6058,20600,1,1,1,1,3,1,1,4,15,"15999","04/03/2016","5","1"
"15025",4751,6059,20600,1,1,2,1,3,2,1,3,15,"15025","07/03/2015","1","5"
"15025",4752,6060,40100,2,1,1,1,5,1,1,1,15,"15009","10/09/2018","1","1"
"15025",4753,6061,40500,1,1,2,1,3,2,1,1,15,"15009","27/08/2018","1","1"
"15025",4754,6062,40100,1,1,2,1,3,2,1,1,15,"15039","08/05/2018","1","2"
"15025",4755,6063,10100,1,1,1,1,4,1,1,1,15,"15083","19/06/2012","1","1"
"15025",4756,6064,40100,1,1,2,1,3,2,1,1,15,"15025","05/09/2018","1","1"
"15025",4757,6065,30100,2,1,3,3,3,3,3,1,15,"15039","02/09/2018","1","1"
"15025",4758,6066,40100,1,1,1,1,3,1,1,1,15,"15039","12/07/2018","1","2"
"15025",4759,6067,40100,1,1,2,1,3,2,1,1,15,"15122","04/10/2018","1","1"
"15025",4760,6068,10100,1,1,2,1,3,2,1,1,15,"15039","08/01/2018","1","2"
"15025",4761,6069,40500,1,1,1,1,3,1,1,1,15,"15122","04/11/2017","1","2"
"15025",4761,6070,80500,1,1,1,1,3,1,1,1,15,"15025","04/11/2017","1","1"
"15025",4761,6071,90600,1,1,1,1,3,1,1,1,15,"15025","04/11/2017","1","1"
"15025",4762,6072,40100,1,1,2,1,3,2,1,1,15,"15025","03/10/2018","1","2"
"15025",4763,6073,30400,1,1,3,3,1,3,3,1,15,"15014","26/10/2013","1","1"
"15025",4764,6074,40100,1,1,2,1,3,2,1,1,15,"15039","25/08/2018","1","2"
"15025",4765,6075,10100,1,1,2,1,5,2,1,1,15,"15025","15/07/2013","3","4"
"15025",4766,6076,30400,1,1,3,1,3,3,1,3,15,"15122","24/01/2014","1","1"
"15025",4767,6077,40100,1,1,2,1,3,2,1,1,15,"15039","30/08/2018","1","1"
"15025",4768,6078,40100,1,1,2,1,3,2,1,1,15,"15122","03/07/2018","1","1"
"15025",4769,6079,40100,1,1,3,1,3,3,1,1,15,"15025","13/08/2018","1","1"
"15025",4770,6080,10100,1,1,1,1,4,1,1,1,15,"15025","09/04/2017","1","1"
"15025",4771,6081,40100,1,1,2,1,3,2,1,1,15,"15039","04/09/2018","2","1"
"15025",4772,6082,40300,2,1,3,2,1,4,2,3,15,"15039","13/03/2015","1","1"
"15025",4773,6083,40100,1,1,2,1,3,2,1,1,15,"15039","10/06/2018","1","2"
"15025",4774,6084,40100,1,1,3,2,1,3,2,1,15,"15039","15/04/2018","5","1"
"15025",4775,6085,40100,1,1,2,1,3,2,1,1,15,"15025","05/11/2018","1","1"
"15025",4776,6086,40100,1,1,1,1,3,1,1,1,15,"15025","04/11/2018","1","1"
"15025",4777,6087,10100,2,1,3,2,1,4,2,1,15,"15094","05/02/2018","1","2"
"15025",4777,6088,10400,2,1,3,2,1,4,2,1,15,"15094","05/02/2018","1","4"
"15025",4778,6089,40100,1,1,2,1,3,2,1,1,15,"15039","12/10/2018","1","1"
"15025",4779,6090,40500,1,1,1,1,3,1,1,1,15,"15122","29/07/2018","1","1"
"15025",4780,6091,40100,1,1,3,1,3,3,1,1,15,"15034","12/09/2018","1","2"
"15025",4781,6092,40100,1,1,2,1,3,2,1,1,15,"15025","15/10/2018","1","1"
"15025",4782,6093,40500,1,1,3,1,3,3,1,2,15,"15039","09/10/2017","3","1"
"15025",4783,6094,40100,1,1,1,1,3,1,1,1,15,"15122","21/07/2018","1","3"
"15025",4783,6095,10100,1,2,1,1,4,1,1,1,15,"15122","21/07/2018","1","1"
"15025",4784,6096,40100,1,1,2,1,3,2,1,1,15,"15039","30/08/2018","1","1"
"15025",4785,6097,40100,1,1,2,1,3,2,1,1,15,"15025","15/09/2018","1","1"
"15025",4786,6098,40100,1,1,1,1,3,1,1,1,15,"15122","11/10/2018","4","3"
"15025",4786,6099,10100,1,2,1,1,3,1,1,1,15,"15122","10/10/2018","4","1"
"15025",4787,6100,40100,1,1,2,1,3,2,1,1,15,"15039","25/10/2018","1","1"
"15025",4788,6101,10100,1,1,1,2,1,1,2,1,15,"15039","23/09/2018","1","1"
"15025",4789,6102,40100,1,1,2,1,3,2,1,1,15,"15025","25/09/2018","1","1"
"15025",4790,6103,40100,1,1,1,1,3,1,1,1,15,"15039","20/07/2018","5","1"
"15025",4791,6104,40100,1,1,2,1,3,2,1,1,15,"15039","20/09/2018","1","3"
"15025",4792,6105,40500,1,1,2,1,3,2,1,3,15,"15025","28/03/2018","2","1"
"15025",4793,6106,40100,1,1,2,1,3,2,1,1,15,"15025","15/08/2018","2","1"
"15025",4794,6107,40100,1,1,1,1,3,1,1,1,15,"15039","05/10/2017","1","2"
"15025",4795,6108,40500,1,1,1,1,3,1,1,1,15,"15025","26/02/2015","2","1"
"15025",4796,6109,10400,2,1,3,2,1,4,2,1,15,"15009","22/09/2018","1","1"
"15025",4797,6110,40100,1,1,2,1,3,2,1,1,15,"15039","26/11/2018","1","1"
"15025",4798,6111,40100,1,1,1,1,3,1,1,1,15,"15039","16/08/2018","1","1"
"15025",4799,6112,40100,1,1,1,1,3,1,1,1,15,"15039","31/08/2018","1","1"
"15025",4800,6113,30400,1,1,3,1,3,5,1,1,15,"15039","13/03/2016","1","1"
"15025",4800,6114,40100,1,1,2,1,3,2,1,1,15,"15025","16/03/2016","1","1"
"15025",4801,6115,40100,1,1,1,1,3,1,1,1,15,"15039","27/02/2018","1","1"
"15025",4802,6116,40100,1,1,1,1,3,1,1,1,15,"15122","30/08/2018","1","1"
"15025",4803,6117,40100,1,1,3,1,3,3,1,1,15,"15039","03/10/2018","2","2"
"15025",4804,6118,30400,1,1,3,1,3,3,1,1,15,"15014","26/09/2018","1","1"
"15025",4804,6119,30400,1,1,3,1,3,3,1,1,15,"15014","26/09/2018","1","1"
"15025",4805,6120,10100,1,1,1,1,4,1,1,1,15,"15025","09/02/2018","1","1"
"15025",4806,6121,40100,1,1,2,1,3,2,1,1,15,"15039","07/09/2018","3","1"
"15025",4807,6122,30400,1,1,3,2,4,3,2,1,15,"15025","03/08/2017","1","1"
"15025",4808,6123,30100,2,1,3,2,1,3,2,1,15,"15039","19/08/2018","1","1"
"15025",4809,6124,40100,1,1,1,1,3,1,1,1,15,"15122","03/11/2018","1","3"
"15025",4810,6125,40100,1,1,2,1,3,2,1,1,15,"15025","07/09/2018","4","1"
"15025",4811,6126,40100,1,1,3,1,3,3,1,1,15,"15039","27/10/2018","1","1"
"15025",4812,6127,40100,1,1,2,1,3,2,1,1,15,"15039","09/10/2018","1","1"
"15025",4813,6128,40100,1,1,2,1,3,2,1,1,15,"15039","25/10/2018","1","1"
"15025",4814,6129,40100,1,1,3,1,3,3,1,1,15,"15039","03/10/2018","2","1"
"15025",4815,6130,40100,1,1,2,1,3,2,1,1,15,"15025","12/10/2018","1","1"
"15025",4816,6131,10100,3,3,3,3,6,6,3,4,99,"99999","09/09/1899","1","1"
"15025",4817,6132,20600,1,1,3,1,3,3,1,2,15,"15025","07/07/2018","6","1"
"15025",4818,6133,40100,1,1,1,1,3,1,1,1,15,"15122","07/09/2018","4","1"
"15025",4819,6134,40100,1,1,3,1,3,3,1,1,15,"15025","12/09/2018","3","1"
"15025",4820,6135,30400,1,1,3,1,4,3,1,1,15,"15122","17/10/2018","1","1"
"15025",4821,6136,40500,1,1,2,1,3,2,1,1,15,"15014","15/10/2018","2","1"
"15025",4822,6137,30100,1,1,3,2,1,3,2,1,15,"15025","06/07/2017","1","1"
"15025",4823,6138,40500,1,1,2,1,3,2,1,1,15,"15025","22/05/2018","1","1"
"15025",4824,6139,40100,1,1,2,1,3,2,1,1,15,"15039","18/11/2018","1","1"
"15025",4825,6140,30400,1,1,3,1,3,3,1,1,15,"15014","02/07/2018","1","1"
"15025",4826,6141,40100,1,1,2,1,3,2,1,1,15,"15025","03/10/2018","1","1"
"15025",4827,6142,40500,2,1,1,1,3,1,1,3,15,"15122","25/05/2018","1","1"
"15025",4828,6143,40100,1,1,3,1,3,3,1,1,15,"15039","11/11/2018","1","1"
"15025",4829,6144,10100,1,1,3,1,4,4,1,3,15,"15999","24/06/2018","1","2"
"15025",4830,6145,10100,1,1,3,1,4,4,1,1,15,"15122","08/06/2017","1","2"
"15025",4831,6146,30100,1,1,3,2,3,3,2,1,15,"15039","05/06/2018","1","1"
"15025",4832,6147,40100,1,1,2,1,3,2,1,1,15,"15025","18/12/2018","2","1"
"15025",4833,6148,40100,1,1,2,1,3,2,1,1,15,"15122","24/10/2018","2","1"
"15025",4834,6149,40300,2,1,3,2,1,3,2,1,15,"15025","20/03/2017","1","1"
"15025",4835,6150,30400,3,3,3,3,6,6,3,4,99,"99999","09/09/1899","1","1"
"15025",4836,6151,40100,1,1,2,1,1,2,1,1,15,"15025","08/12/2018","1","1"
"15025",4837,6152,30400,1,1,2,1,3,2,1,1,15,"15014","29/08/2018","1","1"
"15025",4838,6153,40100,1,1,2,1,3,2,1,1,15,"15039","08/10/2018","1","1"
"15025",4839,6154,40100,1,1,2,1,3,2,1,1,15,"15034","12/09/2018","2","2"
